Year,E,SPLIT,W
1980,41,1,26
1981,75,4,103
1982,68,5,119
1983,58,2,60
1984,68,2,43
1985,45,2,56
1986,36,0,68
1987,40,2,41
1988,56,4,58
1989,48,11,41
1990,35,3,41
1991,35,4,83
1992,27,2,76
1993,21,0,48
1994,35,6,89
1995,7,1,84
1996,9,2,21
1997,25,1,28
1998,9,3,54
1999,30,3,22
2000,14,2,20
2001,13,0,31
2002,18,4,64
2003,24,5,108
2004,29,5,132
2005,25,3,84
2006,28,3,105
2007,29,3,85
2008,9,2,55
2009,15,2,62
2010,7,1,72
2011,30,2,38
2012,18,2,83
2013,12,3,53
2014,13,1,43
2015,14,1,58
2016,2,0,45
2017,17,0,61
2018,5,0,75
2019,6,0,28
2020,3,0,42
2021,4,0,40
2022,36,1,44
2023,10,0,52
2024,14,0,53
