Year,Category,Count
1980,E,41
1980,SPLIT,1
1980,W,26
1981,E,75
1981,SPLIT,4
1981,W,103
1982,E,68
1982,SPLIT,5
1982,W,119
1983,E,58
1983,SPLIT,2
1983,W,60
1984,E,68
1984,SPLIT,2
1984,W,43
1985,E,45
1985,SPLIT,2
1985,W,56
1986,E,36
1986,W,68
1987,E,40
1987,SPLIT,2
1987,W,41
1988,E,56
1988,SPLIT,4
1988,W,58
1989,E,48
1989,SPLIT,11
1989,W,41
1990,E,35
1990,SPLIT,3
1990,W,41
1991,E,35
1991,SPLIT,4
1991,W,83
1992,E,27
1992,SPLIT,2
1992,W,76
1993,E,21
1993,W,48
1994,E,35
1994,SPLIT,6
1994,W,89
1995,E,7
1995,SPLIT,1
1995,W,84
1996,E,9
1996,SPLIT,2
1996,W,21
1997,E,25
1997,SPLIT,1
1997,W,28
1998,E,9
1998,SPLIT,3
1998,W,54
1999,E,30
1999,SPLIT,3
1999,W,22
2000,E,14
2000,SPLIT,2
2000,W,20
2001,E,13
2001,W,31
2002,E,18
2002,SPLIT,4
2002,W,64
2003,E,24
2003,SPLIT,5
2003,W,108
2004,E,29
2004,SPLIT,5
2004,W,132
2005,E,25
2005,SPLIT,3
2005,W,84
2006,E,28
2006,SPLIT,3
2006,W,105
2007,E,29
2007,SPLIT,3
2007,W,85
2008,E,9
2008,SPLIT,2
2008,W,55
2009,E,15
2009,SPLIT,2
2009,W,62
2010,E,7
2010,SPLIT,1
2010,W,72
2011,E,30
2011,SPLIT,2
2011,W,38
2012,E,18
2012,SPLIT,2
2012,W,83
2013,E,12
2013,SPLIT,3
2013,W,53
2014,E,13
2014,SPLIT,1
2014,W,43
2015,E,14
2015,SPLIT,1
2015,W,58
2016,E,2
2016,W,45
2017,E,17
2017,W,61
2018,E,5
2018,W,75
2019,E,6
2019,W,28
2020,E,3
2020,W,42
2021,E,4
2021,W,40
2022,E,36
2022,SPLIT,1
2022,W,44
2023,E,10
2023,W,52
2024,E,14
2024,W,53
