ID,HIV4_Polarity,VADER_Compound
1,-0.33333327777778704,0.8481
2,0.14285713265306196,-0.4939
2,0.15789472853185638,0.6858
2,0.14285713265306196,0.3612
2,0.0,0.4215
3,0.9999998333333611,0.7964
3,-0.11111109876543349,0.5859
3,-0.23076921301775286,-0.34
3,-0.4999999375000079,-0.872
3,0.9999997500000625,0.5574
4,-0.11111109876543349,-0.5859
4,-0.16666665277777895,0.2732
4,0.16666665277777895,0.3071
4,0.09090908264462885,-0.7906
5,0.24999998437500096,0.6597
5,0.24999998437500096,0.8922
6,0.07692307100591762,-0.6775
6,0.4782608487712674,0.1406
6,0.23076921301775286,-0.8979
7,-0.47368418559556913,-0.9631
7,0.0,-0.8573
8,0.7777777345679036,0.8074
8,0.4545454132231443,0.8316
8,0.14285713265306196,0.7506
8,0.8461537810650938,0.1531
9,-0.33333322222225925,0.0258
9,0.0,-0.0258
9,-0.23076921301775286,-0.8439
9,-0.199999960000008,-0.0516
9,0.33333322222225925,0.4215
10,-0.3846153550295881,-0.8705
10,-0.4999999583333368,-0.9726
10,-0.42857139795918586,-0.964
11,0.9999996666667778,-0.4005
11,-0.199999960000008,0.0772
11,0.4285713673469475,0.1027
11,0.1428571224489825,-0.8807
11,0.14285713605442207,-0.9217
11,-0.7499999062500118,-0.8442
11,-0.07692307100591762,-0.872
11,0.3333333111111126,-0.6808
12,0.599999880000024,0.4515
12,0.0,-0.3818
12,0.49999987500003124,-0.0
12,0.0,0.2732
12,0.0,0.0165
12,0.0,-0.8369
12,-0.599999880000024,0.2385
12,0.0,-0.5996
12,0.199999960000008,-0.5859
12,0.24999996875000394,0.5267
13,0.19999998000000202,-0.5574
14,0.23076921301775286,0.2698
14,0.33333329629630043,0.3818
15,0.33333329629630043,0.6486
15,0.0,-0.6908
15,0.49999987500003124,0.0258
16,0.07692307100591762,0.8614
16,0.24999998437500096,-0.0772
16,-0.1428571224489825,0.872
16,0.0,-0.4019
16,-0.4285713673469475,-0.7579
16,0.24999996875000394,0.5116
16,0.4285713673469475,0.7346
16,0.33333327777778704,0.9661
17,0.0,0.4019
17,0.6666665555555741,0.5267
18,0.33333329629630043,0.8689
19,-0.39999996000000404,-0.9161
19,0.1428571224489825,0.8934
19,0.0,0.1779
19,0.4285713673469475,0.0
19,0.09090908264462885,0.2716
19,-0.49999987500003124,-0.1032
20,-0.599999880000024,-0.5709
20,0.0,-0.8625
21,-0.24999996875000394,0.6369
21,0.0,-0.8481
22,0.09090908264462885,-0.4997
22,-0.4545454132231443,-0.9559
22,-0.33333329629630043,0.128
23,-0.9999996666667778,-0.128
23,0.09090908264462885,-0.8402
23,0.33333327777778704,-0.1027
24,0.39999996000000404,0.2263
25,0.199999960000008,-0.1111
25,0.33333322222225925,-0.4939
25,0.36363634710743875,-0.91
25,-0.11111109876543349,0.6908
26,-0.09090908677685969,-0.9761
26,-0.33333327777778704,-0.8771
27,0.11111109876543349,-0.5789
27,0.33333322222225925,-0.296
27,0.5555554938271674,-0.128
27,-0.06666666222222252,0.3134
27,0.4285713673469475,0.34
27,0.49999987500003124,-0.1921
27,0.4999999375000079,0.2537
29,0.6666665555555741,0.3506
29,0.199999960000008,-0.7783
29,0.09090908264462885,-0.3182
29,-0.33333322222225925,-0.6124
29,0.39999996000000404,-0.9291
29,0.0,-0.0015
29,0.19999998666666757,0.872
30,0.0,0.4696
32,-0.599999880000024,0.1531
32,-0.1428571224489825,-0.6726
32,-0.11111109876543349,-0.09
33,0.47368418559556913,0.7456
33,0.14285713265306196,-0.5719
33,0.0,-0.7906
34,-0.33333322222225925,-0.6428
34,-0.19999998000000202,0.6369
34,0.12499999218750048,-0.4767
34,0.3333333111111126,-0.7003
35,0.4999999375000079,0.4822
35,0.19999998666666757,-0.8684
35,-0.2222222098765439,-0.9354
35,0.5555554938271674,-0.3818
36,0.33333327777778704,0.3182
36,0.33333322222225925,-0.0516
36,0.24999996875000394,0.34
36,0.3333333111111126,0.7003
36,0.4285713673469475,-0.1901
36,0.9999990000010001,-0.5927
36,-0.09090908264462885,-0.8768
36,0.09999999500000024,-0.8515
37,0.24999998437500096,0.882
37,0.24999998437500096,-0.85
37,-0.23076921301775286,-0.9325
37,0.0,-0.8822
37,-0.16666665277777895,-0.9722
37,0.599999940000006,-0.1207
39,-0.24999996875000394,-0.6369
39,0.3846153550295881,0.2316
39,0.2727272479338866,0.7906
40,0.2857142653061239,-0.8519
40,-0.09090908264462885,-0.836
40,-0.24999996875000394,-0.7579
40,-0.19999998000000202,-0.5423
40,-0.199999960000008,0.0129
40,-0.99999950000025,-0.5994
41,0.16666665277777895,0.6369
41,0.0,-0.7569
41,0.11111109876543349,0.0
42,0.5294117335640156,-0.7728
42,0.17647057785467188,-0.6899
43,-0.39999996000000404,-0.9049
43,-0.19999998000000202,0.3182
43,0.07692307100591762,-0.8658
43,-0.23076921301775286,-0.1779
44,0.4285713673469475,-0.7739
44,0.0,0.8718
44,-0.33333329629630043,-0.7096
44,-0.08333332986111125,-0.9682
44,-0.23809522675737013,-0.8874
44,0.06666666222222252,-0.6428
44,0.0,-0.5267
44,-0.03999999840000006,-0.3852
44,0.06666666222222252,-0.8074
45,0.11999999520000018,-0.9713
45,0.5384614970414233,0.2732
45,-0.14285713605442207,-0.7506
45,0.4285713673469475,0.8622
45,-0.26315788088642733,-0.9217
45,0.19999998666666757,-0.7506
45,0.23076921301775286,-0.9497
45,0.19999998000000202,0.9144
45,0.0,-0.1927
45,0.0,-0.5849
45,0.2857142653061239,-0.1655
45,0.4444444197530878,-0.1027
45,0.2222222098765439,-0.8945
46,-0.09090908264462885,-0.91
46,0.11111109876543349,-0.1779
46,0.26315788088642733,-0.0343
47,0.5555554938271674,0.631
47,0.4999999687500019,0.4203
47,0.33333332222222256,0.7579
48,-0.6666666111111158,-0.9539
48,-0.17647057785467188,-0.7096
48,-0.1428571224489825,-0.0941
48,-0.14285713265306196,-0.5812
48,0.0,-0.836
48,-0.33333329629630043,-0.9349
48,0.4999999750000012,-0.296
49,0.33333327777778704,-0.7096
49,0.46666663555555765,0.8045
49,0.599999940000006,0.8834
